clause_id,doc_id,title,snippet_text,is_decision_point,question,verbatim
TS 22.179 # 3.1,TS 22.179,Clause 3.1: Definitions,"For the purposes of the present document, the terms and definitions given in TR [1] and the following apply. A term defined in the present document takes precedence over the definition of the same term, if any, in TR Affiliated MCPTT Group Member: An MCPTT Group Member who has indicated an interest",,,
TS 22.179 # 4.1,TS 22.179,Clause 4.1: General,"A Push To Talk service provides an arbitrated method by which two or more users may engage in communication. Users may request permission to transmit (e.g., traditionally by means of a press of a button). The Mission Critical Push To Talk over LTE (MCPTT) service supports an enhanced PTT service, su",,,
TS 22.179 # 4.3,TS 22.179,"Clause 4.3: Overview of MCPTT Group affiliation, call and transmission","An MCPTT Service provides Group Call and Private Call capabilities, which have various process flows, states and permissions associated with them. The figure 4.3.1, figure 4.3.2, and figure 4.3.3 indicate the high level flows, states and permissions associated with Group Calls and Private Calls. The",,,
TS 22.179 # 4.6.2,TS 22.179,Clause 4.6.2: Generic processing of priority information,"This functionality applies to MCPTT Call initiations and transmissions for the management of potentially contended resources (e.g., GBR bearers) and also for Floor control during an MCPTT Group Call. Each request for exclusive access to resource(s) or for preferential treatment over a contending req",,,
TS 22.179 # 4.6.3,TS 22.179,Clause 4.6.3: Handling of MCPTT priority information for Floor control,Floor control is applied in the context of a single MCPTT Call and is triggered by a Participant request for the permission to transmit. Priority information accompanies each grant request.,,,
TS 22.179 # 4.6.6,TS 22.179,Clause 4.6.6: MCPTT priority for Private Call,"The MCPTT Service uses User Static Attributes of the Participants, potentially adjusted based on User Dynamic Attributes, if applicable. By default, the priority of an MCPTT Private Call is the same as the priority of the originator of the call. Similar to group calls there are MCPTT Emergency Priva",,,
TS 22.179 # 5.5.2,TS 22.179,Clause 5.5.2: Requirements,[R-5.5.2-001] Void [R-5.5.2-002] Void [R-5.5.2-003] Void [R-5.5.2-004] The MCPTT Service shall allow an MCPTT UE to be receiving or transmitting in one MCPTT Group while simultaneously receiving additional MCPTT Groups. [R-5.5.2-005] The MCPTT Service shall provide a mechanism to configure the numbe,,,
TS 22.179 # 5.6.1,TS 22.179,Clause 5.6.1: Private Call overview,"Private Calls allow two MCPTT Users to communicate directly with each other without the use of MCPTT Groups. They leverage many of the functions and features of MCPTT Group Calls, such as MCPTT User identity and alias information, location information, encryption, privacy, priority, and administrati",,,
TS 22.179 # 5.6.2,TS 22.179,Clause 5.6.2: Private Call (with Floor control) general requirements,"NOTE: The requirements in this subclause should mirror requirements in 6.7.1 for Private Call (without Floor control). [R-5.6.2-001] The MCPTT Service shall provide the status (e.g., ringing, accepted, rejected, active) of an MCPTT Private Call (with Floor control) to the relevant MCPTT User that is",,,
TS 22.179 # 5.6.3,TS 22.179,Clause 5.6.3: Private Call (with Floor control) commencement requirements,"NOTE 1: The requirements in this subclause should mirror the requirements in 6.7.4 for Private Call (without Floor control). [R-5.6.3-001] The MCPTT Service shall support Call Commencement Modes for Private Calls (with Floor control), which determine the conditions under which Private Calls (with Fl",,,
TS 23.179 # 3.1,TS 23.179,Clause 3.1: Definitions,"For the purposes of the present document, the terms and definitions given in 3GPP [1] and the following apply. A term defined in the present document takes precedence over the definition of the same term, if any, in 3GPP Automatic commencement mode: A mode in which the initiation of the private call",,,
TS 23.179 # 5.2.1,TS 23.179,Clause 5.2.1: General architectural requirements,"General MCPTT architectural requirements include: a) To develop economies of scale, it will be useful if PLMN operators can reuse the MCPTT architecture for non-public safety customers that require similar functionality. These PLMN operators may want to integrate many components of the MCPTT solutio",,,
TS 23.179 # 5.2.9,TS 23.179,Clause 5.2.9: Bearer management,"5.2.9.1 General The MCPTT UE shall use an MCPTT service APN for the SIP-1 reference point, an MC common core services APN for the HTTP-1 reference point and a MC identity management service APN for the CSC 1 reference point. The value of each of these APNs: - may be the same or may differ; - may be",,,
TS 23.179 # 7.2,TS 23.179,Clause 7.2: Description of the planes,"The following planes are identified: a) application plane. The application plane provides all of the services (e.g. call control, floor control) required by the user together with the necessary functions to support media control and transfer. It uses the services of the signalling control plane to s",,,
TS 23.179 # 7.3.1,TS 23.179,Clause 7.3.1: On-network functional model,"7.3.1-1 shows the functional model for the application plane. EMBED Visio.Drawing.11 7.3.1-1: Functional model for application plane In the model shown in figure 7.3.1-1, the following apply: - The MCPTT server is an instantiation of a GCS AS in accordance with 3GPP - MCPTT-9 carries multicast floor",,,
TS 23.179 # 7.4.2,TS 23.179,Clause 7.4.2: Application plane,"7.4.2.1 General Entities within the application plane provide application control, media control and distribution functions. 7.4.2.2 Common services core 7.4.2.2.1 Configuration management client The configuration management client functional entity acts as the application user agent for configurati",,,
TS 23.179 # 7.5.2,TS 23.179,Clause 7.5.2: Application plane,"7.5.2.1 General The reference points for the application plane are described in the following subclauses. 7.5.2.2 Reference point MCPTT-1 (between the MCPTT client and the MCPTT server) The MCPTT-1 reference point, which exists between the MCPTT client and the MCPTT server, is used for MCPTT applica",,,
TS 23.179 # 9.2.1,TS 23.179,Clause 9.2.1: On-network architectural model,"9.2.1.1 On-network architectural model diagram 9.2.1.1-1 below is the on-network architectural model for the MCPTT system solution, where the MCPTT system provides MCPTT service via a single PLMN. EMBED Visio.Drawing.11 9.2.1.1-1: On-network architectural model 9.2.1.2 Application services layer 9.2",,,
